date,country/region,province/state,confirmed,recovered,deaths,month,year,day,day_of_week,jenis_day,benua,season
2020-01-22,Indonesia,,0,0.0,0,1,2020,22,2,Workday,Asia,Wet Season
2020-01-23,Indonesia,,0,0.0,0,1,2020,23,3,Workday,Asia,Wet Season
2020-01-24,Indonesia,,0,0.0,0,1,2020,24,4,Workday,Asia,Wet Season
2020-01-25,Indonesia,,0,0.0,0,1,2020,25,5,Weekend,Asia,Wet Season
2020-01-26,Indonesia,,0,0.0,0,1,2020,26,6,Weekend,Asia,Wet Season
2020-01-27,Indonesia,,0,0.0,0,1,2020,27,0,Workday,Asia,Wet Season
2020-01-28,Indonesia,,0,0.0,0,1,2020,28,1,Workday,Asia,Wet Season
2020-01-29,Indonesia,,0,0.0,0,1,2020,29,2,Workday,Asia,Wet Season
2020-01-30,Indonesia,,0,0.0,0,1,2020,30,3,Workday,Asia,Wet Season
2020-01-31,Indonesia,,0,0.0,0,1,2020,31,4,Workday,Asia,Wet Season
2020-02-01,Indonesia,,0,0.0,0,2,2020,1,5,Weekend,Asia,Wet Season
2020-02-02,Indonesia,,0,0.0,0,2,2020,2,6,Weekend,Asia,Wet Season
2020-02-03,Indonesia,,0,0.0,0,2,2020,3,0,Workday,Asia,Wet Season
2020-02-04,Indonesia,,0,0.0,0,2,2020,4,1,Workday,Asia,Wet Season
2020-02-05,Indonesia,,0,0.0,0,2,2020,5,2,Workday,Asia,Wet Season
2020-02-06,Indonesia,,0,0.0,0,2,2020,6,3,Workday,Asia,Wet Season
2020-02-07,Indonesia,,0,0.0,0,2,2020,7,4,Workday,Asia,Wet Season
2020-02-08,Indonesia,,0,0.0,0,2,2020,8,5,Weekend,Asia,Wet Season
2020-02-09,Indonesia,,0,0.0,0,2,2020,9,6,Weekend,Asia,Wet Season
2020-02-10,Indonesia,,0,0.0,0,2,2020,10,0,Workday,Asia,Wet Season
2020-02-11,Indonesia,,0,0.0,0,2,2020,11,1,Workday,Asia,Wet Season
2020-02-12,Indonesia,,0,0.0,0,2,2020,12,2,Workday,Asia,Wet Season
2020-02-13,Indonesia,,0,0.0,0,2,2020,13,3,Workday,Asia,Wet Season
2020-02-14,Indonesia,,0,0.0,0,2,2020,14,4,Workday,Asia,Wet Season
2020-02-15,Indonesia,,0,0.0,0,2,2020,15,5,Weekend,Asia,Wet Season
2020-02-16,Indonesia,,0,0.0,0,2,2020,16,6,Weekend,Asia,Wet Season
2020-02-17,Indonesia,,0,0.0,0,2,2020,17,0,Workday,Asia,Wet Season
2020-02-18,Indonesia,,0,0.0,0,2,2020,18,1,Workday,Asia,Wet Season
2020-02-19,Indonesia,,0,0.0,0,2,2020,19,2,Workday,Asia,Wet Season
2020-02-20,Indonesia,,0,0.0,0,2,2020,20,3,Workday,Asia,Wet Season
2020-02-21,Indonesia,,0,0.0,0,2,2020,21,4,Workday,Asia,Wet Season
2020-02-22,Indonesia,,0,0.0,0,2,2020,22,5,Weekend,Asia,Wet Season
2020-02-23,Indonesia,,0,0.0,0,2,2020,23,6,Weekend,Asia,Wet Season
2020-02-24,Indonesia,,0,0.0,0,2,2020,24,0,Workday,Asia,Wet Season
2020-02-25,Indonesia,,0,0.0,0,2,2020,25,1,Workday,Asia,Wet Season
2020-02-26,Indonesia,,0,0.0,0,2,2020,26,2,Workday,Asia,Wet Season
2020-02-27,Indonesia,,0,0.0,0,2,2020,27,3,Workday,Asia,Wet Season
2020-02-28,Indonesia,,0,0.0,0,2,2020,28,4,Workday,Asia,Wet Season
2020-02-29,Indonesia,,0,0.0,0,2,2020,29,5,Weekend,Asia,Wet Season
2020-03-01,Indonesia,,0,0.0,0,3,2020,1,6,Weekend,Asia,Wet Season
2020-03-02,Indonesia,,2,0.0,0,3,2020,2,0,Workday,Asia,Wet Season
2020-03-03,Indonesia,,2,0.0,0,3,2020,3,1,Workday,Asia,Wet Season
2020-03-04,Indonesia,,2,0.0,0,3,2020,4,2,Workday,Asia,Wet Season
2020-03-05,Indonesia,,2,0.0,0,3,2020,5,3,Workday,Asia,Wet Season
2020-03-06,Indonesia,,4,0.0,0,3,2020,6,4,Workday,Asia,Wet Season
2020-03-07,Indonesia,,4,0.0,0,3,2020,7,5,Weekend,Asia,Wet Season
2020-03-08,Indonesia,,6,0.0,0,3,2020,8,6,Weekend,Asia,Wet Season
2020-03-09,Indonesia,,19,0.0,0,3,2020,9,0,Workday,Asia,Wet Season
2020-03-10,Indonesia,,27,2.0,0,3,2020,10,1,Workday,Asia,Wet Season
2020-03-11,Indonesia,,34,2.0,1,3,2020,11,2,Workday,Asia,Wet Season
2020-03-12,Indonesia,,34,2.0,1,3,2020,12,3,Workday,Asia,Wet Season
2020-03-13,Indonesia,,69,2.0,4,3,2020,13,4,Workday,Asia,Wet Season
2020-03-14,Indonesia,,96,8.0,5,3,2020,14,5,Weekend,Asia,Wet Season
2020-03-15,Indonesia,,117,8.0,5,3,2020,15,6,Weekend,Asia,Wet Season
2020-03-16,Indonesia,,134,8.0,5,3,2020,16,0,Workday,Asia,Wet Season
2020-03-17,Indonesia,,172,8.0,5,3,2020,17,1,Workday,Asia,Wet Season
2020-03-18,Indonesia,,227,11.0,19,3,2020,18,2,Workday,Asia,Wet Season
2020-03-19,Indonesia,,311,11.0,25,3,2020,19,3,Workday,Asia,Wet Season
2020-03-20,Indonesia,,369,15.0,32,3,2020,20,4,Workday,Asia,Wet Season
2020-03-21,Indonesia,,450,15.0,38,3,2020,21,5,Weekend,Asia,Wet Season
2020-03-22,Indonesia,,514,29.0,48,3,2020,22,6,Weekend,Asia,Wet Season
2020-03-23,Indonesia,,579,29.0,49,3,2020,23,0,Workday,Asia,Wet Season
2020-03-24,Indonesia,,686,30.0,55,3,2020,24,1,Workday,Asia,Wet Season
2020-03-25,Indonesia,,790,31.0,58,3,2020,25,2,Workday,Asia,Wet Season
2020-03-26,Indonesia,,893,35.0,78,3,2020,26,3,Workday,Asia,Wet Season
2020-03-27,Indonesia,,1046,46.0,87,3,2020,27,4,Workday,Asia,Wet Season
2020-03-28,Indonesia,,1155,59.0,102,3,2020,28,5,Weekend,Asia,Wet Season
2020-03-29,Indonesia,,1285,64.0,114,3,2020,29,6,Weekend,Asia,Wet Season
2020-03-30,Indonesia,,1414,75.0,122,3,2020,30,0,Workday,Asia,Wet Season
2020-03-31,Indonesia,,1528,81.0,136,3,2020,31,1,Workday,Asia,Wet Season
2020-04-01,Indonesia,,1677,103.0,157,4,2020,1,2,Workday,Asia,Dry Season
2020-04-02,Indonesia,,1790,112.0,170,4,2020,2,3,Workday,Asia,Dry Season
2020-04-03,Indonesia,,1986,134.0,181,4,2020,3,4,Workday,Asia,Dry Season
2020-04-04,Indonesia,,2092,150.0,191,4,2020,4,5,Weekend,Asia,Dry Season
2020-04-05,Indonesia,,2273,164.0,198,4,2020,5,6,Weekend,Asia,Dry Season
2020-04-06,Indonesia,,2491,192.0,209,4,2020,6,0,Workday,Asia,Dry Season
2020-04-07,Indonesia,,2738,204.0,221,4,2020,7,1,Workday,Asia,Dry Season
2020-04-08,Indonesia,,2956,222.0,240,4,2020,8,2,Workday,Asia,Dry Season
2020-04-09,Indonesia,,3293,252.0,280,4,2020,9,3,Workday,Asia,Dry Season
2020-04-10,Indonesia,,3512,282.0,306,4,2020,10,4,Workday,Asia,Dry Season
2020-04-11,Indonesia,,3842,286.0,327,4,2020,11,5,Weekend,Asia,Dry Season
2020-04-12,Indonesia,,4241,359.0,373,4,2020,12,6,Weekend,Asia,Dry Season
2020-04-13,Indonesia,,4557,380.0,399,4,2020,13,0,Workday,Asia,Dry Season
2020-04-14,Indonesia,,4839,426.0,459,4,2020,14,1,Workday,Asia,Dry Season
2020-04-15,Indonesia,,5136,446.0,469,4,2020,15,2,Workday,Asia,Dry Season
2020-04-16,Indonesia,,5516,548.0,496,4,2020,16,3,Workday,Asia,Dry Season
2020-04-17,Indonesia,,5923,607.0,520,4,2020,17,4,Workday,Asia,Dry Season
2020-04-18,Indonesia,,6248,631.0,535,4,2020,18,5,Weekend,Asia,Dry Season
2020-04-19,Indonesia,,6575,686.0,582,4,2020,19,6,Weekend,Asia,Dry Season
2020-04-20,Indonesia,,6760,747.0,590,4,2020,20,0,Workday,Asia,Dry Season
2020-04-21,Indonesia,,7135,842.0,616,4,2020,21,1,Workday,Asia,Dry Season
2020-04-22,Indonesia,,7418,913.0,635,4,2020,22,2,Workday,Asia,Dry Season
2020-04-23,Indonesia,,7775,960.0,647,4,2020,23,3,Workday,Asia,Dry Season
2020-04-24,Indonesia,,8211,1002.0,689,4,2020,24,4,Workday,Asia,Dry Season
2020-04-25,Indonesia,,8607,1042.0,720,4,2020,25,5,Weekend,Asia,Dry Season
2020-04-26,Indonesia,,8882,1107.0,743,4,2020,26,6,Weekend,Asia,Dry Season
2020-04-27,Indonesia,,9096,1151.0,765,4,2020,27,0,Workday,Asia,Dry Season
2020-04-28,Indonesia,,9511,1254.0,773,4,2020,28,1,Workday,Asia,Dry Season
2020-04-29,Indonesia,,9771,1391.0,784,4,2020,29,2,Workday,Asia,Dry Season
2020-04-30,Indonesia,,10118,1522.0,792,4,2020,30,3,Workday,Asia,Dry Season
2020-05-01,Indonesia,,10551,1591.0,800,5,2020,1,4,Workday,Asia,Dry Season
2020-05-02,Indonesia,,10843,1665.0,831,5,2020,2,5,Weekend,Asia,Dry Season
2020-05-03,Indonesia,,11192,1876.0,845,5,2020,3,6,Weekend,Asia,Dry Season
2020-05-04,Indonesia,,11587,1954.0,864,5,2020,4,0,Workday,Asia,Dry Season
2020-05-05,Indonesia,,12071,2197.0,872,5,2020,5,1,Workday,Asia,Dry Season
2020-05-06,Indonesia,,12438,2317.0,895,5,2020,6,2,Workday,Asia,Dry Season
2020-05-07,Indonesia,,12776,2381.0,930,5,2020,7,3,Workday,Asia,Dry Season
2020-05-08,Indonesia,,13112,2494.0,943,5,2020,8,4,Workday,Asia,Dry Season
2020-05-09,Indonesia,,13645,2607.0,959,5,2020,9,5,Weekend,Asia,Dry Season
2020-05-10,Indonesia,,14032,2698.0,973,5,2020,10,6,Weekend,Asia,Dry Season
2020-05-11,Indonesia,,14265,2881.0,991,5,2020,11,0,Workday,Asia,Dry Season
2020-05-12,Indonesia,,14749,3063.0,1007,5,2020,12,1,Workday,Asia,Dry Season
2020-05-13,Indonesia,,15438,3287.0,1028,5,2020,13,2,Workday,Asia,Dry Season
2020-05-14,Indonesia,,16006,3518.0,1043,5,2020,14,3,Workday,Asia,Dry Season
2020-05-15,Indonesia,,16496,3803.0,1076,5,2020,15,4,Workday,Asia,Dry Season
2020-05-16,Indonesia,,17025,3911.0,1089,5,2020,16,5,Weekend,Asia,Dry Season
2020-05-17,Indonesia,,17514,4129.0,1148,5,2020,17,6,Weekend,Asia,Dry Season
2020-05-18,Indonesia,,18010,4324.0,1191,5,2020,18,0,Workday,Asia,Dry Season
2020-05-19,Indonesia,,18496,4467.0,1221,5,2020,19,1,Workday,Asia,Dry Season
2020-05-20,Indonesia,,19189,4575.0,1242,5,2020,20,2,Workday,Asia,Dry Season
