country/region,year,month,avg_confirmed,avg_recovered,avg_deaths,benua,jenis_seasons,season
Afghanistan,2020,1,0.0,0.0,0.0,Asia,Four Seasons,Winter
Afghanistan,2020,2,1.0344827586206897,0.0,0.0,Asia,Four Seasons,Winter
Afghanistan,2020,3,36.806451612903224,0.8387096774193549,0.6774193548387096,Asia,Four Seasons,Spring
Afghanistan,2020,4,838.4,97.56666666666666,27.066666666666666,Asia,Four Seasons,Spring
Afghanistan,2020,5,7184.5161290322585,778.3548387096774,158.83870967741936,Asia,Four Seasons,Spring
Afghanistan,2020,6,25056.166666666668,6158.933333333333,499.4,Asia,Four Seasons,Summer
Afghanistan,2020,7,34819.74193548387,22197.322580645163,1078.6774193548388,Asia,Four Seasons,Summer
Afghanistan,2020,8,37583.83870967742,27207.677419354837,1358.3225806451612,Asia,Four Seasons,Summer
Afghanistan,2020,9,38880.03333333333,31636.8,1435.3333333333333,Asia,Four Seasons,Autumn
Afghanistan,2020,10,40215.967741935485,33525.16129032258,1492.7096774193549,Asia,Four Seasons,Autumn
Afghanistan,2020,11,43462.166666666664,35290.8,1625.9,Asia,Four Seasons,Autumn
Afghanistan,2020,12,49662.93548387097,38961.32258064516,2001.6129032258063,Asia,Four Seasons,Winter
Afghanistan,2021,1,53911.58064516129,45280.12903225807,2319.064516129032,Asia,Four Seasons,Winter
Afghanistan,2021,2,55467.92857142857,48510.25,2423.714285714286,Asia,Four Seasons,Winter
Afghanistan,2021,3,56034.45161290323,49741.290322580644,2458.935483870968,Asia,Four Seasons,Spring
Afghanistan,2021,4,57775.333333333336,52214.3,2543.3333333333335,Asia,Four Seasons,Spring
Afghanistan,2021,5,64256.45161290323,55186.58064516129,2754.3870967741937,Asia,Four Seasons,Spring
Afghanistan,2021,6,94957.23333333334,62917.23333333333,3806.9333333333334,Asia,Four Seasons,Summer
Afghanistan,2021,7,136817.67741935485,80404.54838709677,5950.903225806452,Asia,Four Seasons,Summer
Afghanistan,2021,8,151484.48387096773,10656.258064516129,6994.096774193548,Asia,Four Seasons,Summer
Afghanistan,2021,9,154266.96666666667,0.0,7172.833333333333,Asia,Four Seasons,Autumn
Afghanistan,2021,10,155717.35483870967,0.0,7239.580645161291,Asia,Four Seasons,Autumn
Afghanistan,2021,11,156707.16666666666,0.0,7295.533333333334,Asia,Four Seasons,Autumn
Afghanistan,2021,12,157715.96774193548,0.0,7332.548387096775,Asia,Four Seasons,Winter
Afghanistan,2022,1,159300.64516129033,0.0,7382.419354838709,Asia,Four Seasons,Winter
Afghanistan,2022,2,169976.10714285713,0.0,7503.428571428572,Asia,Four Seasons,Winter
Afghanistan,2022,3,176290.5483870968,0.0,7644.4838709677415,Asia,Four Seasons,Spring
Afghanistan,2022,4,178057.25,0.0,7672.75,Asia,Four Seasons,Spring
Albania,2020,1,0.0,0.0,0.0,Europe,Four Seasons,Winter
Albania,2020,2,0.0,0.0,0.0,Europe,Four Seasons,Winter
Albania,2020,3,72.0,7.774193548387097,2.935483870967742,Europe,Four Seasons,Spring
Albania,2020,4,521.0666666666667,263.4,24.266666666666666,Europe,Four Seasons,Spring
Albania,2020,5,931.3870967741935,701.9354838709677,31.451612903225808,Europe,Four Seasons,Spring
Albania,2020,6,1696.0,1091.4,40.7,Europe,Four Seasons,Summer
