country/region,year,month,total_confirmed,total_recovered,total_deaths,benua
Afghanistan,2020,1,0,0.0,0,Asia
Afghanistan,2020,2,30,0.0,0,Asia
Afghanistan,2020,3,1141,26.0,21,Asia
Afghanistan,2020,4,25152,2927.0,812,Asia
Afghanistan,2020,5,222720,24129.0,4924,Asia
Afghanistan,2020,6,751685,184768.0,14982,Asia
Afghanistan,2020,7,1079412,688117.0,33439,Asia
Afghanistan,2020,8,1165099,843438.0,42108,Asia
Afghanistan,2020,9,1166401,949104.0,43060,Asia
Afghanistan,2020,10,1246695,1039280.0,46274,Asia
Afghanistan,2020,11,1303865,1058724.0,48777,Asia
Afghanistan,2020,12,1539551,1207801.0,62050,Asia
Afghanistan,2021,1,1671259,1403684.0,71891,Asia
Afghanistan,2021,2,1553102,1358287.0,67864,Asia
Afghanistan,2021,3,1737068,1541980.0,76227,Asia
Afghanistan,2021,4,1733260,1566429.0,76300,Asia
Afghanistan,2021,5,1991950,1710784.0,85386,Asia
Afghanistan,2021,6,2848717,1887517.0,114208,Asia
Afghanistan,2021,7,4241348,2492541.0,184478,Asia
Afghanistan,2021,8,4696019,330344.0,216817,Asia
Afghanistan,2021,9,4628009,0.0,215185,Asia
Afghanistan,2021,10,4827238,0.0,224427,Asia
Afghanistan,2021,11,4701215,0.0,218866,Asia
Afghanistan,2021,12,4889195,0.0,227309,Asia
Afghanistan,2022,1,4938320,0.0,228855,Asia
Afghanistan,2022,2,4759331,0.0,210096,Asia
Afghanistan,2022,3,5465007,0.0,236979,Asia
Afghanistan,2022,4,2848916,0.0,122764,Asia
Albania,2020,1,0,0.0,0,Europe
Albania,2020,2,0,0.0,0,Europe
Albania,2020,3,2232,241.0,91,Europe
Albania,2020,4,15632,7902.0,728,Europe
Albania,2020,5,28873,21760.0,975,Europe
Albania,2020,6,50880,32742.0,1221,Europe
Albania,2020,7,119660,67686.0,3302,Europe
Albania,2020,8,230278,120294.0,6945,Europe
Albania,2020,9,350148,200469.0,10286,Europe
Albania,2020,10,523084,305370.0,13731,Europe
Albania,2020,11,866248,424181.0,19239,Europe
Albania,2020,12,1540509,819127.0,31857,Europe
Albania,2021,1,2088163,1250570.0,39480,Europe
Albania,2021,2,2610775,1622660.0,44037,Europe
Albania,2021,3,3652195,2525857.0,63810,Europe
Albania,2021,4,3865660,3010039.0,69887,Europe
Albania,2021,5,4089156,3795097.0,75267,Europe
Albania,2021,6,3973546,3894898.0,73604,Europe
Albania,2021,7,4113962,4032655.0,76140,Europe
Albania,2021,8,4262873,521104.0,76586,Europe
Albania,2021,9,4784904,0.0,77186,Europe
Albania,2021,10,5511591,0.0,87201,Europe
Albania,2021,11,5801493,0.0,90259,Europe
Albania,2021,12,6351823,0.0,97819,Europe
Albania,2022,1,7217971,0.0,101437,Europe
Albania,2022,2,7491180,0.0,95637,Europe
Albania,2022,3,8456152,0.0,108045,Europe
Albania,2022,4,4386152,0.0,55888,Europe
Algeria,2020,1,0,0.0,0,Africa
Algeria,2020,2,5,0.0,0,Africa
Algeria,2020,3,4823,594.0,324,Africa
Algeria,2020,4,69497,24072.0,9197,Africa
Algeria,2020,5,211394,109804.0,16901,Africa
Algeria,2020,6,337819,233399.0,23600,Africa
Algeria,2020,7,674286,467472.0,32720,Africa
Algeria,2020,8,1185076,826991.0,42428,Africa
Algeria,2020,9,1458290,1026971.0,48964,Africa
Algeria,2020,10,1683631,1177057.0,57192,Africa
Algeria,2020,11,2074384,1373852.0,65248,Africa
Algeria,2020,12,2884170,1902624.0,81232,Africa
Algeria,2021,1,3212268,2181520.0,87734,Africa
Algeria,2021,2,3096714,2126923.0,82303,Africa
Algeria,2021,3,3577898,2481861.0,94314,Africa
Algeria,2021,4,3581338,2495622.0,94693,Africa
Algeria,2021,5,3890403,2710001.0,104551,Africa
Algeria,2021,6,4030589,2805260.0,107894,Africa
Algeria,2021,7,4734511,3257465.0,121911,Africa
Algeria,2021,8,5788899,468745.0,149055,Africa
Algeria,2021,9,6016238,0.0,168391,Africa
Algeria,2021,10,6358229,0.0,181913,Africa
Algeria,2021,11,6249508,0.0,179783,Africa
Algeria,2021,12,6636393,0.0,191320,Africa
Algeria,2022,1,7141014,0.0,199006,Africa
Algeria,2022,2,7317457,0.0,188533,Africa
Algeria,2022,3,8228823,0.0,212805,Africa
Algeria,2022,4,4251415,0.0,109984,Africa
Andorra,2020,1,0,0.0,0,Europe
Andorra,2020,2,0,0.0,0,Europe
Andorra,2020,3,2787,37.0,39,Europe
Andorra,2020,4,19106,5636.0,917,Europe
Andorra,2020,5,23498,18505.0,1518,Europe
Andorra,2020,6,25511,23239.0,1545,Europe
Andorra,2020,7,27174,24877.0,1612,Europe
Andorra,2020,8,31382,26677.0,1632,Europe
Andorra,2020,9,45275,32128.0,1590,Europe
Andorra,2020,10,103067,69118.0,1895,Europe
Andorra,2020,11,174907,143348.0,2266,Europe
Andorra,2020,12,230115,209606.0,2478,Europe
Andorra,2021,1,279226,253747.0,2805,Europe
Andorra,2021,2,293412,277194.0,2986,Europe
Andorra,2021,3,352375,336906.0,3499,Europe
Andorra,2021,4,380633,361236.0,3637,Europe
Andorra,2021,5,418754,407093.0,3935,Europe
Andorra,2021,6,414764,408532.0,3810,Europe
Andorra,2021,7,442259,430536.0,3939,Europe
Andorra,2021,8,462595,57234.0,3999,Europe
Andorra,2021,9,453489,0.0,3900,Europe
Andorra,2021,10,475994,0.0,4030,Europe
Andorra,2021,11,481140,0.0,3907,Europe
Andorra,2021,12,629689,0.0,4194,Europe
Andorra,2022,1,931921,0.0,4417,Europe
Andorra,2022,2,1043282,0.0,4169,Europe
Andorra,2022,3,1211183,0.0,4722,Europe
Andorra,2022,4,644948,0.0,2448,Europe
Angola,2020,1,0,0.0,0,Africa
Angola,2020,2,0,0.0,0,Africa
Angola,2020,3,48,1.0,6,Africa
Angola,2020,4,601,129.0,60,Africa
Angola,2020,5,1639,466.0,85,Africa
Angola,2020,6,4660,1668.0,210,Africa
Angola,2020,7,20049,5708.0,915,Africa
Angola,2020,8,59160,22283.0,2627,Africa
Angola,2020,9,111469,41899.0,4268,Africa
Angola,2020,10,233349,94176.0,7325,Africa
Angola,2020,11,404417,196092.0,9636,Africa
Angola,2020,12,508018,286751.0,11686,Africa
Angola,2021,1,580289,473400.0,13481,Africa
Angola,2021,2,569508,527106.0,13697,Africa
Angola,2021,3,666295,618101.0,16193,Africa
Angola,2021,4,726071,668606.0,16851,Africa
Angola,2021,5,948207,802500.0,20979,Africa
Angola,2021,6,1109740,924203.0,25209,Africa
Angola,2021,7,1260968,1077983.0,29592,Africa
Angola,2021,8,1394599,154728.0,34363,Africa
Angola,2021,9,1552460,0.0,41306,Africa
Angola,2021,10,1929362,0.0,51232,Africa
Angola,2021,11,1946699,0.0,51781,Africa
Angola,2021,12,2112947,0.0,53989,Africa
Angola,2022,1,2871481,0.0,57365,Africa
Angola,2022,2,2758810,0.0,53138,Africa
Angola,2022,3,3067646,0.0,58900,Africa
Angola,2022,4,1587104,0.0,30400,Africa
Antarctica,2020,1,0,0.0,0,Antarctica
Antarctica,2020,2,0,0.0,0,Antarctica
Antarctica,2020,3,0,0.0,0,Antarctica
Antarctica,2020,4,0,0.0,0,Antarctica
Antarctica,2020,5,0,0.0,0,Antarctica
Antarctica,2020,6,0,0.0,0,Antarctica
Antarctica,2020,7,0,0.0,0,Antarctica
Antarctica,2020,8,0,0.0,0,Antarctica
Antarctica,2020,9,0,0.0,0,Antarctica
Antarctica,2020,10,0,0.0,0,Antarctica
Antarctica,2020,11,0,0.0,0,Antarctica
Antarctica,2020,12,0,0.0,0,Antarctica
Antarctica,2021,1,0,0.0,0,Antarctica
Antarctica,2021,2,0,0.0,0,Antarctica
Antarctica,2021,3,0,0.0,0,Antarctica
Antarctica,2021,4,0,0.0,0,Antarctica
Antarctica,2021,5,0,0.0,0,Antarctica
Antarctica,2021,6,0,0.0,0,Antarctica
Antarctica,2021,7,0,0.0,0,Antarctica
Antarctica,2021,8,0,0.0,0,Antarctica
Antarctica,2021,9,0,0.0,0,Antarctica
Antarctica,2021,10,0,0.0,0,Antarctica
Antarctica,2021,11,0,0.0,0,Antarctica
Antarctica,2021,12,198,0.0,0,Antarctica
Antarctica,2022,1,341,0.0,0,Antarctica
Antarctica,2022,2,308,0.0,0,Antarctica
Antarctica,2022,3,341,0.0,0,Antarctica
Antarctica,2022,4,176,0.0,0,Antarctica
Antigua and Barbuda,2020,1,0,0.0,0,North America
Antigua and Barbuda,2020,2,0,0.0,0,North America
Antigua and Barbuda,2020,3,61,0.0,0,North America
